22 150
NAME STRING
FR1 FLOAT
FR2 FLOAT
FR3 FLOAT
FR4 FLOAT
FR5 FLOAT
FR6 FLOAT
FR7 FLOAT
FR8 FLOAT
FR9 FLOAT
FR10 FLOAT
FR11 FLOAT
FR12 FLOAT
FR13 FLOAT
FR14 FLOAT
FR15 FLOAT
FR16 FLOAT
FR17 FLOAT
FR18 FLOAT
FR19 FLOAT
FR20 FLOAT
FR21 FLOAT
"reo131" -62.800762 -31.074581 -14.665453 -6.812194 -3.374294 -1.9832581 -1.4016482 -1.0601494 -0.7429926 -0.39205915 0.0 0.43730435 0.93861234 1.55519 2.4183505 3.8463361 6.540212 11.898445 22.479837 42.64448 79.40243 
"reo132" -62.02863 -30.058569 -13.640595 -5.850866 -2.4877508 -1.176676 -0.6958771 -0.49150187 -0.35050756 -0.19979192 0.0 0.29755193 0.7623939 1.4964195 2.6769626 4.6629896 8.195969 14.7269745 26.90158 49.23411 89.0028 
"reo133" -18.703526 -12.361034 -8.510005 -6.1331353 -4.5899405 -3.4982061 -2.6435637 -1.9131771 -1.2495203 -0.6202279 0.0 0.6394559 1.3354654 2.140427 3.1318717 4.430556 6.230612 8.845772 12.77568 18.796312 28.078535 
"reo134" -15.951404 -10.348786 -6.863168 -4.7117662 -3.367458 -2.4883993 -1.8621209 -1.3620214 -0.9141958 -0.47253045 0.0 0.54590297 1.2256709 2.1302845 3.3957827 5.2219663 7.8973017 11.832094 17.601994 26.003899 38.12634 
"reo135" -42.514366 -23.988195 -13.842622 -8.473444 -5.6512375 -4.0791535 -3.0588663 -2.2492037 -1.5020218 -0.7598696 0.0 0.79072386 1.6254737 2.5271013 3.553232 4.852254 6.765653 9.992139 15.829012 26.506224 45.628563 
"reo136" -104.4328 -52.353127 -24.733831 -10.996104 -4.632717 -1.889507 -0.77009076 -0.31764588 -0.12757307 -0.044864006 0.0 0.06279648 0.21113361 0.550022 1.2936231 2.9293509 6.5205035 14.193601 29.856606 60.194202 115.98632 
"reo137" -76.31733 -37.020515 -16.975569 -7.577193 -3.5969024 -2.0764823 -1.4945453 -1.1671935 -0.8437591 -0.4586095 0.0 0.5430402 1.1948068 2.0070188 3.1119332 4.8534913 8.035514 14.325962 26.856276 51.05481 95.75338 
"reo138" -18.616917 -11.7825985 -7.6632047 -5.197328 -3.694778 -2.7263377 -2.0381489 -1.4872004 -0.9944053 -0.5117509 0.0 0.58657074 1.3119159 2.269966 3.599889 5.50839 8.30256 12.436799 18.57733 27.687805 41.13957 
"reo139" -46.039234 -21.225208 -8.545626 -2.6640172 -0.3100789 0.39248863 0.43264434 0.27681643 0.115501784 0.015296522 0.0 0.084434375 0.28462198 0.62796277 1.1870538 2.1607933 4.026411 7.7860684 15.331667 29.951515 57.002483 
"reo14" -62.44927 -31.405102 -15.082676 -7.0475826 -3.3571107 -1.7517123 -1.0442127 -0.67852753 -0.4296323 -0.21653503 0.0 0.26322675 0.6379415 1.228007 2.2221267 3.9961216 7.299957 13.557774 25.30917 46.81999 84.89086 
